id,title,description,event_date,event_time,venue_name,venue_address,theme,sub_theme,flyer_url,is_featured,is_special,djs
1,I Love Hip Hop,Weekly hip hop and dancehall experience featuring open format party selections and crowd engagement.,2026-02-05,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Love Songs and Bad Decisions,"Black, Bold & Desired",/flyers/Feb-Week1.png,TRUE,FALSE,Masta King | From Belize |resident; Andre Millwood||
2,I Love Hip Hop,Ladies-focused hip hop and dancehall nightlife experience with resident DJs and guest appearances.,2026-02-12,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Love Songs and Bad Decisions,Love Songs & Bad Decisions,/flyers/Feb-Week2.png,TRUE,FALSE,DJ Renso | Coppershot |resident; Andre Millwood||
3,I Love Hip Hop,"Urban nightlife experience blending hip hop, dancehall and international party sounds.",2026-02-19,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Love Songs and Bad Decisions,"Pretty, Petty & Outside",/flyers/Feb-Week3.png,TRUE,FALSE,Alric and Boyd||resident; Andre Millwood||
4,I Love Hip Hop,Premium Thursday nightlife experience with heavy hip hop and dancehall rotation.,2026-02-26,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Love Songs and Bad Decisions,Dangerously Fly,/flyers/Feb-Week4.png,TRUE,FALSE,Troy Finzi | FAME FM |resident; Andre Millwood||
5,Breeze & Bass,Caribbean and hip hop fusion nightlife experience introducing the Breeze & Bass seasonal theme.,2026-03-05,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Breeze & Bass,Fever,/flyers/Mar-Week1.png,TRUE,TRUE,DJ Vinchi||resident; Andre Millwood||
6,Breeze & Bass,"Dancehall, afrobeats and hip hop crossover experience designed around spring nightlife energy.",2026-03-12,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Breeze & Bass,Tropical Nights,/flyers/Mar-Week2.png,TRUE,FALSE,Spectre | Code Red |resident; Andre Millwood||
7,Breeze & Bass,"Weekly party series focused on sexy, melodic and high-energy club records.",2026-03-19,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Breeze & Bass,Oceans and 808s,/flyers/Mar-Week3.png,TRUE,FALSE,Chaddy G||resident; Andre Millwood||
8,Breeze & Bass,End-of-month Breeze & Bass experience featuring crowd favorites and crossover sounds.,2026-03-26,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Breeze & Bass,Heat After Dark,/flyers/Mar - Week 4.png,TRUE,FALSE,Supa Hype||resident; Andre Millwood||
9,HIP-SO,Hip hop meets soca with carnival-inspired energy and Caribbean party culture.,2026-04-02,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",HIP-SO,Flag in the Air,/flyers/apr-week1.png,TRUE,TRUE,Troy Finzi | FAME FM |resident; Andre Millwood||
10,HIP-SO,"Fusion of soca, dancehall and hip hop with female-forward party selections.",2026-04-09,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",HIP-SO,When The Road Calls,/flyers/apr-week2.png,TRUE,FALSE,Andre Millwood||; DJ Karim||
11,HIP-SO,High-energy carnival themed nightlife experience with Caribbean crossover sounds.,2026-04-16,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",HIP-SO,Back to Yard,/flyers/apr-week3.png,TRUE,FALSE,Alric and Boyd||resident; Vybz Ovadose||
12,HIP-SO,Final HIP-SO edition before transition into Global Bass seasonal programming.,2026-04-23,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",HIP-SO,Last Call,/flyers/apr-week4.png,TRUE,FALSE,DJ Milton||resident; Andre Millwood||
